name,description,hours_required
"Apply the manufacturing process from raw materials to a finished product (designing, development, making, and servicing of products and systems).",none,15
Build and operate a robotic system.,none,15
Build electrical circuits.,none,15
"Complete a resume, job application, and mock interview.",none,15
Construct components using CAD designing software.,none,15
Define and identify common aviation manufacturing terminology and mechanisms.,none,15
Demonstrate and explain manufacturing techniques used in manufacturing aircraft components.,none,15
Demonstrate how to run a CNC program to manufacture a component within a given tolerance.,none,15
Demonstrate shop safety equipment.,none,15
"Demonstrate Stick, TIG, or MIG welding",none,15
"Describe manufacturing mechanical processes: separating, forming, combining, and conditioning.",none,15
"Design, interpret, and build a print-part.",none,15
"Discuss and implement programming languages, logic, communication, and automated systems.",none,15
Discuss and participate in interpersonal activities that develop successful human relations skills.,none,15
Discuss the characteristics and expectations of a dependable worker.,none,15
Ensure a safe workplace by assessing workplace conditions.,none,15
"Explain manufacturing principles (e.g., Lean Manufacturing).",none,15
Explain the basic principles of electrical theory.,none,15
Explain the basic principles of fluid power.,none,15
Explore career aviation manufacturing opportunities.,none,15
Identify and research desired professions and the professions requirements.,none,15
Identify and use correct measurement tools and devices.,none,15
Identify how to operate a basic welding machine using a welding simulator.,none,15
"Identify uses for various electrical instruments, tools, and power sources.",none,15
"Identify, set up, and use machining tools and equipment.",none,15
Score satisfactory (100%) on all safety tests.,none,15
Utilize appropriate personal protective equipment.,none,15
required administrative work,none,15
